,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
98,CESENA,HELLAS,01-Jan,1-0,3.8,6.9,5.5,43,57,4,4,8,0,4,25,76,13,37,14,1,0,0,7,2,11,2,4,20,84,29,29,19,4,0,0,1,1,1,1,2014
99,LAZIO,CAGLIARI,04-Feb,3-0,8.2,7.2,5.2,47,53,2,5,11,4,4,17,75,18,19,24,2,0,0,2,4,9,3,7,24,78,19,23,15,3,0,1,4,2,2,4,2014
100,SASSUOLO,ATALANTA,0-0,0-0,2.6,6.8,5.8,56,44,6,5,14,3,8,28,82,33,44,19,3,0,0,4,0,9,5,4,21,67,21,29,22,1,0,0,0,0,0,0,2014
101,SAMPDORIA,MILAN,02-Feb,01-Jan,8,6.5,5.9,44,56,6,8,19,5,5,16,82,13,24,13,1,0,0,4,3,10,3,5,9,85,2,22,23,4,1,0,2,2,2,2,2014
102,CAGLIARI,GENOA,01-Jan,1-0,5.6,5.9,6.3,46,54,6,5,13,2,6,19,72,13,17,19,5,0,0,2,5,9,2,2,19,80,10,21,24,4,0,1,1,1,1,1,2014
103,EMPOLI,LAZIO,02-Jan,0-0,4.4,7.5,5.2,48,52,3,2,7,2,3,26,69,25,40,13,1,0,0,6,1,7,0,4,38,73,18,33,24,2,0,0,2,1,1,2,2014
104,JUVENTUS,PARMA,7-0,3-0,6.8,10,3.4,68,32,10,11,21,0,5,32,91,3,7,3,0,0,0,2,1,4,1,0,14,81,4,21,11,1,0,0,7,0,0,7,2014
105,CHIEVO,CESENA,02-Jan,0-0,6.1,6.1,5.3,50,50,11,6,19,2,5,28,79,21,27,16,4,0,0,5,3,9,1,2,19,73,23,42,18,4,0,0,2,1,1,2,2014
106,PALERMO,UDINESE,01-Jan,01-Jan,5.6,6.5,5.8,59,41,9,4,20,7,7,25,82,22,27,14,1,0,0,4,6,12,2,5,17,70,17,48,22,5,0,0,1,1,1,1,2014
107,FIORENTINA,NAPOLI,0-1,0-0,4.2,5.5,7.1,59,41,7,2,14,5,7,35,82,13,23,9,3,0,0,9,5,19,5,5,25,77,18,44,13,3,0,0,0,1,1,0,2014
